strike_price,best_offer,impl_volatility,date,exdate,cp_flag
100000,76.65,0.356389,20170901,20190118,C
105000,72.85,0.354011,20170901,20190118,C
110000,68.4,0.342076,20170901,20190118,C
115000,64.05,0.333227,20170901,20190118,C
120000,59.4,0.323971,20170901,20190118,C
125000,55,0.314281,20170901,20190118,C
130000,51.1,0.307805,20170901,20190118,C
135000,47.2,0.302667,20170901,20190118,C
140000,43.55,0.298389,20170901,20190118,C
145000,39.9,0.291885,20170901,20190118,C
150000,36.5,0.288386,20170901,20190118,C
155000,33.1,0.282328,20170901,20190118,C
160000,30.15,0.27978,20170901,20190118,C
165000,27.35,0.276664,20170901,20190118,C
170000,24.5,0.272357,20170901,20190118,C
175000,22.25,0.270735,20170901,20190118,C
180000,20,0.268564,20170901,20190118,C
185000,17.85,0.26589,20170901,20190118,C
190000,15.95,0.264643,20170901,20190118,C
195000,14.15,0.262069,20170901,20190118,C
200000,12.65,0.260808,20170901,20190118,C
205000,11.2,0.259344,20170901,20190118,C
210000,9.95,0.258468,20170901,20190118,C
215000,8.8,0.257289,20170901,20190118,C
220000,7.75,0.256259,20170901,20190118,C
225000,6.85,0.25596,20170901,20190118,C
230000,6.05,0.255374,20170901,20190118,C
240000,4.8,0.255147,20170901,20190118,C
250000,3.75,0.254981,20170901,20190118,C
260000,2.96,0.255608,20170901,20190118,C
270000,2.36,0.25676,20170901,20190118,C
280000,1.89,0.257832,20170901,20190118,C
290000,1.53,0.260624,20170901,20190118,C
300000,1.26,0.263793,20170901,20190118,C
45000,129.55,0.602731,20170901,20190118,C
50000,124.7,0.561519,20170901,20190118,C
55000,119.9,0.537452,20170901,20190118,C
60000,115,0.502433,20170901,20190118,C
65000,110.2,0.478021,20170901,20190118,C
70000,105.4,0.454429,20170901,20190118,C
75000,100.6,0.431618,20170901,20190118,C
80000,95.85,0.413105,20170901,20190118,C
85000,91.2,0.402125,20170901,20190118,C
90000,86.45,0.382745,20170901,20190118,C
95000,81.95,0.375331,20170901,20190118,C
